Fiscal Year,Work Location Borough,Regular Gross Paid,OT Hours,Total OT Paid
2020,MANHATTAN,42423.18,24.75,887.98
2020,MANHATTAN,40049.33,111.5,2851.47
2020,MANHATTAN,40991,7.75,295.09
2020,MANHATTAN,40921,15,374.95
2020,MANHATTAN,40185.31,7.75,265.05
2020,MANHATTAN,39067.88,12.5,374.73
2020,MANHATTAN,35388.36,94.75,3379.71
2020,MANHATTAN,38125.21,14.5,384.7
2020,MANHATTAN,30625.01,68.25,2791.81
2020,MANHATTAN,37044.22,29,1008.9
2020,MANHATTAN,34092.19,72,3575.21
2020,MANHATTAN,36575.19,20,835.85
2020,MANHATTAN,35919.25,31,849.53
2020,MANHATTAN,33530.28,19.25,868.41
2020,MANHATTAN,32934.07,21.75,969.7
2020,MANHATTAN,32234.75,3.25,111.14
2020,MANHATTAN,30469.27,13.75,464.84
2020,MANHATTAN,29133.98,5.5,262.82
2020,MANHATTAN,28679.4,5.75,256.48
2020,MANHATTAN,26690.14,5,230.01
2020,MANHATTAN,26600.59,2.5,90.64
2020,MANHATTAN,24172.65,2,68.4
2020,MANHATTAN,18482.38,9.25,390.44
2020,MANHATTAN,20165.47,3.5,134.66
2020,MANHATTAN,20267.12,1.5,54.38
2020,MANHATTAN,20074.3,2.75,78.99
2020,MANHATTAN,17391.33,2,66.4
2020,MANHATTAN,17923.1,7.5,192.36
2020,MANHATTAN,14552.78,15,429.57
2020,MANHATTAN,5904.12,11.5,485.41
2020,MANHATTAN,5224.94,4.25,158.74
2020,MANHATTAN,115531.48,276,21604.14
2020,MANHATTAN,103206.9,189.5,14642
2020,MANHATTAN,101772.99,216.5,13363.5
2020,MANHATTAN,103206.9,138.25,10196.59
2020,MANHATTAN,103206.9,127.5,9233.58
2020,MANHATTAN,103206.9,109.5,7734.08
2020,MANHATTAN,103206.9,99.5,7015.58
2020,MANHATTAN,102989.72,94.25,7000.51
2020,MANHATTAN,103206.9,73,5261.05
2020,MANHATTAN,103206.9,70,5019.22
2020,MANHATTAN,102455.29,2,145.26
2020,MANHATTAN,92374.92,75.75,4596.28
2020,MANHATTAN,82747.15,154,8637.09
2020,MANHATTAN,81134.81,3,143.99
2020,MANHATTAN,83378.29,20,1279.69
2020,MANHATTAN,83372.08,20,1279.66
2020,MANHATTAN,83372.08,12.25,684.62
2020,MANHATTAN,80547.72,1,44.88
2020,MANHATTAN,68489.14,4,171.39
2020,MANHATTAN,134863.9,82,7531.01
2020,MANHATTAN,124064.37,220.5,19095.79
2020,MANHATTAN,131672.72,6,460.59
2020,MANHATTAN,123746.25,40,3164.24
2020,MANHATTAN,110767.63,86.5,6126.17
2020,MANHATTAN,104395.05,82,5509.65
2020,MANHATTAN,108992.34,2,145.44
2020,MANHATTAN,88657.63,321,19979.17
2020,MANHATTAN,96669.4,36.25,2441.89
2020,MANHATTAN,98127.86,1,56.2
2020,MANHATTAN,92796.94,30.5,1874.84
2020,MANHATTAN,92831.27,71,4333.6
2020,MANHATTAN,97255.9,3.5,194.57
2020,MANHATTAN,92812.65,2.5,178.52
2020,MANHATTAN,91338.56,35.25,2324.75
2020,MANHATTAN,86754.08,159.75,8331.37
2020,MANHATTAN,92796.94,48,2394.96
2020,MANHATTAN,75586.29,333.5,18549.16
2020,MANHATTAN,68219.88,389,19843.7
2020,MANHATTAN,86562.23,5,221.42
2020,MANHATTAN,92313.26,8,413.32
2020,BROOKLYN,81104.74,193,10240.86
2020,MANHATTAN,81171.37,6,425.59
2020,MANHATTAN,68141.38,364,17967.08
2020,BROOKLYN,87133.58,3,149.5
2020,MANHATTAN,87076.9,0.5,31.13
2020,MANHATTAN,68090.32,377,19870.87
2020,MANHATTAN,83008.38,21.75,1200.27
2020,MANHATTAN,66673.48,424,20385.53
2020,MANHATTAN,59793.59,521.75,24183.93
2020,MANHATTAN,79661.36,51.75,3146
2020,MANHATTAN,75411.04,129,6369.71
2020,MANHATTAN,66366.05,395.5,19633.97
2020,MANHATTAN,75444.53,105,5094.17
